test,metodo,n_iter,trial,error_abs,error_rel,error_max
test_15_segundos,GS,4,8,0.045340201680869,0.04263830017660537,0.0001714427418309999
test_15_segundos,GS,4,9,0.045336797090174005,0.042635180498612604,0.00017143425104899988
test_15_segundos,GS,5,0,0.033182828268909004,0.031206223629800793,0.00012589832614999996
test_15_segundos,GS,5,1,0.033180177265876,0.031203745661013,0.00012588629387099998
test_15_segundos,GS,5,2,0.03318186103167001,0.031205331158060505,0.00012589532691699998
test_15_segundos,GS,5,3,0.033183827503214004,0.03120716570997906,0.00012590078292799996
test_15_segundos,GS,5,4,0.033181704507057,0.031205168711454682,0.00012588693998299982
test_15_segundos,GS,5,5,0.033183924108758006,0.031207243607586747,0.0001258982245699999
test_15_segundos,GS,5,6,0.033182206169094,0.031205639564905657,0.00012589171317399983
test_15_segundos,GS,5,7,0.033187637956506,0.031210755120972766,0.0001259140221179999
test_15_segundos,GS,5,8,0.033185884900651996,0.031209103459839325,0.00012590576910099984
test_15_segundos,GS,5,9,0.033184937745694004,0.031208203221242726,0.0001259069993939999
test_15_segundos,GS,6,0,0.024934088472375,0.023448727523205797,9.46005994649998e-05
test_15_segundos,GS,6,1,0.024935778221484003,0.023450314888047906,9.460625730899996e-05
test_15_segundos,GS,6,2,0.024939857835121003,0.02345415453417529,9.462100717699991e-05
test_15_segundos,GS,6,3,0.024935673861707003,0.023450220160211407,9.46056684549999e-05
test_15_segundos,GS,6,4,0.024938539580063,0.023452911011063768,9.461708794599984e-05
test_15_segundos,GS,6,5,0.024936713039380005,0.023451195373530027,9.460998199199992e-05
test_15_segundos,GS,6,6,0.02493734577186,0.02345178474043523,9.461193538099996e-05
test_15_segundos,GS,6,7,0.024940247097028,0.023454520100823315,9.462321303199987e-05
test_15_segundos,GS,6,8,0.024935390269115,0.02344995088859697,9.460530590799988e-05
test_15_segundos,GS,6,9,0.024938142762159998,0.023452536080349334,9.46146484279999e-05
test_15_segundos,GS,7,0,0.019085860911733,0.01794872687155665,7.241329185099987e-05
test_15_segundos,GS,7,1,0.019087012563258003,0.017949810234255237,7.241763860999992e-05
test_15_segundos,GS,7,2,0.019086331370578004,0.01794916916516759,7.241501288799985e-05
test_15_segundos,GS,7,3,0.019087673642144996,0.017950432656885368,7.242037987999998e-05
