familia,rep,tam,dens,metodo,tiempo
uno_a_todos,0,1000,1,J,109
uno_a_todos,1,1000,1,J,85
uno_a_todos,2,1000,1,J,92
uno_a_todos,3,1000,1,J,87
uno_a_todos,4,1000,1,J,98
uno_a_todos,5,1000,1,J,96
uno_a_todos,6,1000,1,J,119
uno_a_todos,7,1000,1,J,93
uno_a_todos,8,1000,1,J,98
uno_a_todos,9,1000,1,J,85
uno_a_todos,0,1000,1,EG,4560
uno_a_todos,1,1000,1,EG,4575
uno_a_todos,2,1000,1,EG,4544
uno_a_todos,3,1000,1,EG,5029
uno_a_todos,4,1000,1,EG,4788
uno_a_todos,5,1000,1,EG,4509
uno_a_todos,6,1000,1,EG,4586
uno_a_todos,7,1000,1,EG,4564
uno_a_todos,8,1000,1,EG,4548
uno_a_todos,9,1000,1,EG,4525
