familia,rep,tam,dens,metodo,tiempo
viborita,1,1000,300,GS,221
viborita,2,1000,300,GS,206
viborita,3,1000,300,GS,182
viborita,4,1000,300,GS,217
viborita,5,1000,300,GS,222
viborita,6,1000,300,GS,210
viborita,7,1000,300,GS,203
viborita,8,1000,300,GS,299
viborita,9,1000,300,GS,266
viborita,0,1000,300,J,349
viborita,1,1000,300,J,338
viborita,2,1000,300,J,325
viborita,3,1000,300,J,289
viborita,4,1000,300,J,318
viborita,5,1000,300,J,359
viborita,6,1000,300,J,332
viborita,7,1000,300,J,336
viborita,8,1000,300,J,446
viborita,9,1000,300,J,336
viborita,0,1000,300,EG,3385
viborita,1,1000,300,EG,4004
viborita,2,1000,300,EG,2546
viborita,3,1000,300,EG,2334
viborita,4,1000,300,EG,2432
viborita,5,1000,300,EG,2712
viborita,6,1000,300,EG,2554
viborita,7,1000,300,EG,2727
viborita,8,1000,300,EG,2906
viborita,9,1000,300,EG,3107
viborita,0,1000,500,GS,265
viborita,1,1000,500,GS,487
viborita,2,1000,500,GS,233
viborita,3,1000,500,GS,205
viborita,4,1000,500,GS,294
viborita,5,1000,500,GS,436
viborita,6,1000,500,GS,329
viborita,7,1000,500,GS,235
viborita,8,1000,500,GS,252
viborita,9,1000,500,GS,232
viborita,0,1000,500,J,354
viborita,1,1000,500,J,792
viborita,2,1000,500,J,797
viborita,3,1000,500,J,306
viborita,4,1000,500,J,364
viborita,5,1000,500,J,381
viborita,6,1000,500,J,381
viborita,7,1000,500,J,367
viborita,8,1000,500,J,338
viborita,9,1000,500,J,391
viborita,0,1000,500,EG,3638
viborita,1,1000,500,EG,6438
viborita,2,1000,500,EG,2987
viborita,3,1000,500,EG,3124
viborita,4,1000,500,EG,3000
viborita,5,1000,500,EG,6719
viborita,6,1000,500,EG,3415
viborita,7,1000,500,EG,3251
viborita,8,1000,500,EG,3253
viborita,9,1000,500,EG,4270
viborita,0,1000,900,GS,212
viborita,1,1000,900,GS,208
viborita,2,1000,900,GS,212
viborita,3,1000,900,GS,263
viborita,4,1000,900,GS,265
viborita,5,1000,900,GS,299
viborita,6,1000,900,GS,213
viborita,7,1000,900,GS,226
viborita,8,1000,900,GS,240
viborita,9,1000,900,GS,193
viborita,0,1000,900,J,342
viborita,1,1000,900,J,296
viborita,2,1000,900,J,294
viborita,3,1000,900,J,378
viborita,4,1000,900,J,340
viborita,5,1000,900,J,323
viborita,6,1000,900,J,308
viborita,7,1000,900,J,316
viborita,8,1000,900,J,343
viborita,9,1000,900,J,299
viborita,0,1000,900,EG,2631
viborita,1,1000,900,EG,2643
viborita,2,1000,900,EG,2662
viborita,3,1000,900,EG,4040
viborita,4,1000,900,EG,2821
viborita,5,1000,900,EG,2826
viborita,6,1000,900,EG,2784
viborita,7,1000,900,EG,3831
viborita,8,1000,900,EG,3479
viborita,9,1000,900,EG,2693
viborita,0,1000,1000,GS,260
viborita,1,1000,1000,GS,221
viborita,2,1000,1000,GS,227
viborita,3,1000,1000,GS,236
viborita,4,1000,1000,GS,245
viborita,5,1000,1000,GS,256
viborita,6,1000,1000,GS,435
viborita,7,1000,1000,GS,271
viborita,8,1000,1000,GS,221
viborita,9,1000,1000,GS,221
viborita,0,1000,1000,J,277
viborita,1,1000,1000,J,298
viborita,2,1000,1000,J,309
viborita,3,1000,1000,J,311
viborita,4,1000,1000,J,289
viborita,5,1000,1000,J,289
viborita,6,1000,1000,J,381
viborita,7,1000,1000,J,365
